Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0.69,0.264047045,0.257025063,0.148897969,0.1877282,0.227957059,0.228007009,0.343821835,0.273473791,0.237700006,0.248193994,0.356903828,0.636993031,0.253182811,0.258503172,0.253182811,0.065818632,0.257025063,0.140557097
0.7,0.279438082,0.261016526,0.151494078,0.178168205,0.219124747,0.231850483,0.358704577,0.278892768,0.238614993,0.244429721,0.362894826,0.6813404,0.254108915,0.25218279,0.254108915,0.070064002,0.25218279,0.156814978
0.71,0.294357244,0.264271544,0.150389334,0.17312033,0.208691902,0.231042166,0.373229921,0.282957201,0.23760856,0.238978744,0.370180497,0.72847624,0.252184856,0.242811679,0.252184856,0.07626663,0.242811679,0.174218049
0.72,0.308074874,0.265900878,0.143880481,0.170700135,0.200612784,0.223338328,0.387443037,0.296665102,0.235136668,0.231471465,0.377117911,0.793134218,0.247697911,0.232091564,0.247697911,0.083782185,0.232091564,0.197998743
0.73,0.320418271,0.264590029,0.132744891,0.161846564,0.195821059,0.209680632,0.40104908,0.312218386,0.232870094,0.222718673,0.379484488,0.853228968,0.241042623,0.230360711,0.241042623,0.091210579,0.230360711,0.221073694
0.74,0.332376147,0.261904221,0.129772101,0.148477297,0.189712943,0.192508677,0.413700018,0.324837542,0.232069162,0.216066767,0.374721546,0.911724768,0.231559508,0.220684499,0.232069162,0.095995334,0.220684499,0.244858338
0.75,0.345758384,0.260629124,0.126862226,0.141005504,0.177852683,0.1757216,0.432021127,0.332469273,0.232272271,0.205101615,0.363412496,0.956163715,0.218496422,0.206624489,0.232272271,0.102654244,0.206624489,0.26378898
0.76,0.360872288,0.268819001,0.120275496,0.133446058,0.166218969,0.162613655,0.452787674,0.335346831,0.231126724,0.190240006,0.348431133,0.968641231,0.201257562,0.204417509,0.231126724,0.111632998,0.204417509,0.270787532
0.77,0.377889684,0.271826863,0.117046907,0.133761307,0.161053706,0.153494744,0.469662238,0.337018527,0.225872239,0.173993415,0.333327703,0.944238919,0.181117388,0.20085908,0.225872239,0.119847773,0.20085908,0.264606967
0.78,0.393274553,0.269844984,0.118172493,0.130379998,0.154990335,0.153151436,0.481223906,0.34250212,0.215715502,0.160245704,0.31901257,0.890194093,0.180276101,0.194351699,0.215715502,0.125004941,0.194351699,0.248376673
0.79,0.399551953,0.278029118,0.118700592,0.130624784,0.150404656,0.164606045,0.487247155,0.353645764,0.200735752,0.151400495,0.30721755,0.821996606,0.174796668,0.186621302,0.200735752,0.128754652,0.186621302,0.226076045
0.8,0.395539128,0.289394759,0.120050218,0.13152832,0.143369908,0.171664438,0.489200257,0.368884347,0.183368168,0.147163129,0.295853687,0.754165522,0.172218204,0.181897612,0.183368168,0.130327197,0.181897612,0.204536743
0.81,0.383162292,0.301686743,0.119626882,0.129361154,0.140789399,0.174794608,0.494777819,0.384891095,0.166140563,0.145146129,0.282930881,0.694386825,0.170920702,0.192456877,0.170920702,0.131438692,0.192456877,0.186024755
0.82,0.37087352,0.316269505,0.118212094,0.124743321,0.137782122,0.174760744,0.505907267,0.398469027,0.151263938,0.142362545,0.287925747,0.643608704,0.168706668,0.201621079,0.168706668,0.135141824,0.201621079,0.172203748
0.83,0.362167146,0.325307816,0.119631059,0.118444508,0.133293632,0.173501765,0.518464695,0.407003535,0.139432184,0.137825183,0.292465931,0.599531292,0.166035079,0.211496646,0.166035079,0.13954055,0.211496646,0.161513744
0.84,0.357266153,0.340095201,0.121097446,0.111553305,0.130057118,0.170149444,0.534955479,0.409635513,0.130111626,0.131335073,0.295791766,0.557446625,0.163851274,0.221636172,0.163851274,0.145188977,0.221636172,0.152734787
0.85,0.355789892,0.355001614,0.122361052,0.106875758,0.126137062,0.165409806,0.557438562,0.417162017,0.122086276,0.123518596,0.301337285,0.514216147,0.163096018,0.23005771,0.163096018,0.153014005,0.23005771,0.145922487
0.86,0.354851477,0.366345386,0.122785392,0.103722667,0.123945876,0.159485406,0.587170423,0.422645195,0.114483772,0.115210458,0.303836785,0.479248414,0.162779437,0.235313263,0.162779437,0.162816765,0.235313263,0.142118299
0.87,0.352389777,0.37633421,0.121793339,0.100169599,0.124653066,0.152332331,0.624634797,0.430236639,0.107197423,0.113143313,0.303490534,0.46061194,0.163763914,0.236795377,0.163763914,0.174579531,0.236795377,0.14225277
0.88,0.347754738,0.387423968,0.119116708,0.097656695,0.128750437,0.146413833,0.667177935,0.443327493,0.108747503,0.110786744,0.300866867,0.442063004,0.167222234,0.23463588,0.167222234,0.186574138,0.23463588,0.143876023
0.89,0.364314419,0.399357692,0.114749161,0.097146861,0.13219174,0.145473744,0.711122722,0.461887812,0.109676466,0.107019383,0.296947863,0.424729338,0.172616341,0.230170416,0.172616341,0.200881102,0.230170416,0.146845799
0.9,0.374245022,0.410343407,0.109146646,0.098981031,0.136752431,0.143636207,0.752632523,0.482558054,0.109040962,0.101682355,0.292255745,0.407941423,0.178905081,0.223130942,0.178905081,0.214331084,0.223130942,0.150987433
0.91,0.377254115,0.417819504,0.10716169,0.102213321,0.138204678,0.140220808,0.788561789,0.50044451,0.107035609,0.103505231,0.287909818,0.390632901,0.184789513,0.215892655,0.184789513,0.225825527,0.215892655,0.153575315
0.92,0.373287666,0.420142348,0.107661953,0.105932812,0.136117301,0.134396387,0.81662101,0.51558307,0.10701271,0.104822351,0.288312044,0.371987111,0.189150932,0.209174766,0.189150932,0.234469398,0.209174766,0.155578734
