Time(s),AL01-EQ2-psaNorthSouth(g),AL01-EQ2-psaEastWest(g),BL45-EQ8-psaNorthSouth(g),BL45-EQ8-psaEastWest(g),CI05-EQ15-psaNorthSouth(g),CI05-EQ15-psaEastWest(g),CJ03-EQ16-psaNorthSouth(g),CJ03-EQ16-psaEastWest(g),CJ04-EQ17-psaNorthSouth(g),CJ04-EQ17-psaEastWest(g),CO56-EQ19-psaNorthSouth(g),CO56-EQ19-psaEastWest(g),GA62-EQ29-psaNorthSouth(g),GA62-EQ29-psaEastWest(g),GC38-EQ30-psaNorthSouth(g),GC38-EQ30-psaEastWest(g),LI58-EQ37-psaNorthSouth(g),LI58-EQ37-psaEastWest(g),PE10-EQ47-psaNorthSouth(g),PE10-EQ47-psaEastWest(g),RM48-EQ49-psaNorthSouth(g),RM48-EQ49-psaEastWest(g),SP51-EQ51-psaNorthSouth(g),SP51-EQ51-psaEastWest(g),TL08-EQ53-psaNorthSouth(g),TL08-EQ53-psaEastWest(g),TL55-EQ54-psaNorthSouth(g),TL55-EQ54-psaEastWest(g),VG09-EQ58-psaNorthSouth(g),VG09-EQ58-psaEastWest(g)
0.510,0.272316119,0.269856979,0.212404987,0.213608331,0.227422891,0.269787468,0.162085505,0.200936574,0.184947749,0.194873369,0.184990751,0.153719647,0.240529982,0.252237588,0.203140937,0.182397433,0.159728584,0.182283839,0.173351348,0.263617892,0.155793899,0.121527024,0.187973867,0.20930456,0.166706664,0.184643364,0.172100697,0.101535365,0.211377984,0.157391659
0.520,0.285330571,0.269167902,0.221285083,0.223921905,0.233351057,0.252355926,0.165294059,0.210937114,0.19026108,0.205326334,0.197226034,0.162350877,0.264799824,0.25526463,0.205334668,0.196954305,0.149731083,0.181177219,0.165455231,0.233794062,0.159407173,0.129284449,0.178299782,0.212346616,0.158590872,0.181260148,0.158390187,0.100255033,0.210506593,0.155681209
0.530,0.326029226,0.278773841,0.227372448,0.227322947,0.226916585,0.248396641,0.179639658,0.221739674,0.199577207,0.216636006,0.202226172,0.168264906,0.28105909,0.243122645,0.207814687,0.210907593,0.138856004,0.180926546,0.176669888,0.206861224,0.1596513,0.136356964,0.176850046,0.215689649,0.153394229,0.170240589,0.151671332,0.110964304,0.220864633,0.158295835
0.540,0.357553706,0.307715224,0.224061536,0.22199752,0.212482738,0.263115796,0.197880291,0.236241245,0.208554069,0.23109936,0.19941204,0.169616667,0.28325355,0.220319276,0.206377623,0.222729784,0.138807403,0.178868437,0.176476621,0.202162812,0.155676929,0.140021693,0.186043308,0.217827817,0.16333282,0.15557126,0.142539569,0.124821707,0.222911833,0.168044867
0.550,0.361247945,0.324262324,0.222020831,0.211710239,0.197696307,0.276700901,0.219335419,0.256414649,0.213624373,0.250778063,0.189953478,0.169264931,0.287745794,0.212813296,0.201038217,0.233554413,0.136194028,0.180404845,0.167920342,0.200154612,0.147955713,0.1431883,0.199316962,0.218782007,0.165793687,0.164616547,0.131295756,0.135163547,0.219583501,0.180093248
0.560,0.340769052,0.326386654,0.218304285,0.207488976,0.192472966,0.304062425,0.24056849,0.280886507,0.225335526,0.274677476,0.187256654,0.168100104,0.281030056,0.206719275,0.193964745,0.245190361,0.135158356,0.188708815,0.164247127,0.199032856,0.138568524,0.139426799,0.208207839,0.219595736,0.171185386,0.175617895,0.133477127,0.138902186,0.23377083,0.188539021
0.570,0.309498245,0.316828301,0.212925843,0.213293116,0.189949769,0.320394881,0.255103663,0.304559227,0.238648747,0.297990369,0.190567074,0.162777085,0.26790377,0.199377384,0.190164134,0.258092196,0.140427375,0.207655211,0.159020188,0.19469255,0.129092143,0.129720461,0.208117304,0.222271727,0.174489136,0.182528468,0.129996947,0.137546836,0.254545253,0.189903241
0.580,0.280257398,0.300712204,0.207615048,0.221422149,0.188799324,0.326794342,0.262008592,0.332475453,0.244386548,0.325633438,0.19684943,0.164304537,0.253279432,0.21147694,0.194976985,0.270678533,0.147750899,0.2269205,0.152706173,0.190303465,0.121957274,0.116803577,0.199773534,0.227362121,0.172640537,0.186875063,0.12856866,0.135315648,0.274106741,0.184444053
0.590,0.258255768,0.284521246,0.203177475,0.227192277,0.196877964,0.32590757,0.264500346,0.353619672,0.246296954,0.345874186,0.203996474,0.184343376,0.239809322,0.21355577,0.195838859,0.28117897,0.160026027,0.245021698,0.14899931,0.188224433,0.118657774,0.103807383,0.205548146,0.233867586,0.168278974,0.189386113,0.130137484,0.142135041,0.286775345,0.173644592
0.600,0.251051547,0.27124756,0.199247514,0.226247735,0.208389042,0.319390267,0.264874635,0.362846795,0.245438378,0.353941347,0.212243805,0.204126594,0.229387345,0.20515036,0.191597646,0.289039457,0.176144013,0.259238011,0.148721532,0.203027543,0.117351265,0.095236442,0.210072746,0.258579175,0.159163958,0.192184216,0.133973966,0.146902336,0.289617251,0.171821488
