Time(s),AO24-EQ3-psaNorthSouth(g),AO24-EQ3-psaEastWest(g),CH84-EQ14-psaNorthSouth(g),CH84-EQ14-psaEastWest(g),ES57-EQ27-psaNorthSouth(g),ES57-EQ27-psaEastWest(g),IB22-EQ33-psaNorthSouth(g),IB22-EQ33-psaEastWest(g),JC54-EQ35-psaNorthSouth(g),JC54-EQ35-psaEastWest(g),LI33-EQ36-psaNorthSouth(g),LI33-EQ36-psaEastWest(g),LV17-EQ38-psaNorthSouth(g),LV17-EQ38-psaEastWest(g),MI15-EQ40-psaNorthSouth(g),MI15-EQ40-psaEastWest(g),SI53-EQ50-psaNorthSouth(g),SI53-EQ50-psaEastWest(g),UC44-EQ56-psaNorthSouth(g),UC44-EQ56-psaEastWest(g)
0.580,0.171787939,0.198611988,0.193303028,0.362463066,0.157531599,0.150435723,0.270211213,0.251665632,0.378334159,0.516101367,0.358886699,0.325954703,0.183229547,0.172064833,0.3642531,0.268224075,0.207256692,0.348107471,0.231931173,0.206624832
0.590,0.176174591,0.198964411,0.202376369,0.354782747,0.172497415,0.147746331,0.26476488,0.248509306,0.37110663,0.503173476,0.381048608,0.329837067,0.1903146,0.182347745,0.37203643,0.28003697,0.189687884,0.340671924,0.22228171,0.190122581
0.600,0.17977572,0.201318463,0.210180011,0.357297845,0.189518266,0.147328329,0.25518656,0.242787514,0.363061402,0.479627057,0.393844486,0.329011724,0.195353743,0.189115761,0.376020922,0.283343791,0.174019631,0.333183727,0.217934589,0.188326097
0.610,0.182486254,0.202388507,0.216204418,0.361707281,0.20409167,0.163884767,0.243680398,0.23586898,0.352780244,0.44795511,0.404272772,0.335108992,0.197213227,0.197885706,0.375294786,0.279718805,0.166688531,0.324859031,0.219722319,0.191478853
0.620,0.184282549,0.200319835,0.219653335,0.362786694,0.217876391,0.177069156,0.230886157,0.228963191,0.34669355,0.433003427,0.414675813,0.350159712,0.199775287,0.208670113,0.371588326,0.274780211,0.168979975,0.316160672,0.225564608,0.201851186
0.630,0.185817202,0.198451572,0.217938528,0.358347688,0.243894877,0.194363078,0.216454949,0.22222548,0.356830619,0.428104221,0.421873339,0.368520797,0.206328816,0.220484493,0.367544385,0.278265533,0.17823059,0.308810177,0.231455291,0.212425448
0.640,0.187808362,0.20229062,0.210419524,0.34848433,0.264432056,0.210272359,0.201171539,0.214883047,0.371587186,0.408673762,0.425587924,0.38375158,0.218417376,0.231052658,0.371065184,0.297231209,0.184670012,0.302220298,0.234684638,0.216678659
0.650,0.190857645,0.202576767,0.199197248,0.337277307,0.273347754,0.223286651,0.187684094,0.206922795,0.391169117,0.378972054,0.424489548,0.389471063,0.232203795,0.236883108,0.382424419,0.328121028,0.18953906,0.295933253,0.233603418,0.22330409
0.660,0.194882862,0.207337216,0.195556006,0.333538735,0.274493138,0.240294079,0.179426479,0.198975191,0.407190914,0.356671201,0.42458131,0.380641704,0.240645015,0.235632238,0.387043821,0.362355185,0.194015642,0.289981598,0.232174445,0.232370205
0.670,0.199389377,0.210490902,0.201707467,0.328155408,0.273313452,0.256231015,0.178266883,0.191743407,0.421499832,0.346645598,0.430753699,0.35456085,0.245116677,0.228194414,0.380637579,0.393563496,0.19901177,0.283185962,0.238461293,0.231390433
0.680,0.204395061,0.211337244,0.209821502,0.324339978,0.271193514,0.265398529,0.18336008,0.194913567,0.434734752,0.335387029,0.428673944,0.315058346,0.255228435,0.219907593,0.366395822,0.416453861,0.204622626,0.275680285,0.238075423,0.22079981
0.690,0.209704085,0.211996295,0.219638269,0.322734818,0.265836005,0.290996557,0.191623191,0.20110241,0.449018989,0.323436484,0.416153486,0.271656767,0.260394474,0.21844382,0.357948997,0.429179919,0.210790807,0.268686952,0.233049561,0.21740417
0.700,0.215109193,0.218125783,0.231120768,0.321662529,0.255842744,0.316960419,0.2001093,0.20666931,0.465832783,0.312344421,0.395146727,0.273257725,0.262516277,0.226670968,0.372558215,0.433949192,0.217628084,0.262831483,0.22567791,0.21372525
0.710,0.220791064,0.224925381,0.24388127,0.326002317,0.241778816,0.326773404,0.211311792,0.211580021,0.484454893,0.303117721,0.368127064,0.27528777,0.26271884,0.240584132,0.39195702,0.433520169,0.225522761,0.258375285,0.217001648,0.20615681
0.720,0.226418047,0.23628576,0.257112748,0.334002141,0.231575879,0.326762682,0.230704809,0.215097008,0.505441677,0.296012509,0.336152875,0.275875507,0.263603106,0.254743787,0.414189775,0.430637713,0.234447195,0.25544155,0.208292228,0.198748561
0.730,0.231501889,0.252293155,0.270357772,0.340230028,0.220011959,0.327143387,0.250668175,0.216259995,0.526307184,0.292059458,0.306763266,0.275423314,0.268440092,0.265422905,0.437816829,0.4251426,0.244412692,0.252471852,0.207694011,0.20666543
0.740,0.238072641,0.265696802,0.282589097,0.343806344,0.207855971,0.331563035,0.269156566,0.21453029,0.54558372,0.290121031,0.300192157,0.273643806,0.276898241,0.275614704,0.460390059,0.426574655,0.255365072,0.248486111,0.206737135,0.213578681
0.750,0.246074677,0.27412985,0.293431798,0.343715289,0.200293556,0.334866977,0.2845872,0.210272276,0.561881877,0.286196946,0.290077207,0.270710519,0.285960629,0.287724958,0.479837823,0.423671217,0.265708929,0.242978511,0.20436293,0.220162805
0.760,0.252273802,0.275901548,0.304069983,0.341453648,0.196000454,0.330666104,0.294901739,0.204806638,0.574098247,0.281281329,0.279515661,0.266918373,0.291649816,0.298208328,0.493833437,0.417881283,0.273840632,0.236080801,0.200657695,0.227355882
0.770,0.256924112,0.271579712,0.312456532,0.345109898,0.204871232,0.317813269,0.299497848,0.200222264,0.581144953,0.277166778,0.271915941,0.261836397,0.291412421,0.30862405,0.50083986,0.410962836,0.277911864,0.24215422,0.196023119,0.234301978
0.780,0.261268345,0.26532556,0.316982132,0.346041482,0.22212016,0.297752476,0.306063652,0.198190163,0.582018627,0.275551109,0.269253029,0.255986563,0.285775678,0.318821451,0.501002123,0.405913297,0.27659929,0.248998411,0.190747957,0.239033625
0.790,0.266019906,0.268947079,0.317287847,0.347366807,0.244291697,0.277242332,0.311105434,0.199086945,0.576587357,0.276380623,0.271152918,0.252142998,0.276673877,0.328109279,0.506528785,0.404578192,0.269754703,0.25280576,0.192488999,0.238935511
0.800,0.271181573,0.274741136,0.314480744,0.359024212,0.265873412,0.266630041,0.309845586,0.201961252,0.566371064,0.277711104,0.274169425,0.250285922,0.266996179,0.33667073,0.496654138,0.406600958,0.258433881,0.254335767,0.199006121,0.233044058
0.810,0.276674078,0.283550912,0.309434946,0.369119508,0.283361785,0.250789553,0.30257458,0.20526982,0.554419625,0.279155808,0.275608778,0.247175953,0.275067166,0.345486069,0.491344253,0.409809142,0.244629863,0.254652036,0.20927716,0.240314047
