T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
1.16,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3784,0.7568,0.3,0.6
1.17,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3808,0.7616,0.3,0.6
1.18,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3832,0.7664,0.3,0.6
1.19,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3856,0.7712,0.3,0.6
1.2,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.388,0.776,0.3,0.6
1.21,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3904,0.7808,0.3,0.6
1.22,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3928,0.7856,0.3,0.6
1.23,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3952,0.7904,0.3,0.6
1.24,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.3976,0.7952,0.3,0.6
1.25,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.26,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.27,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.28,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.29,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.3,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.31,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.32,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.33,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.34,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.35,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.36,0.158823529,0.317647059,0.316874391,0.633748782,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.37,0.157664234,0.315328467,0.313801876,0.627603753,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.38,0.156521739,0.313043478,0.310781176,0.621562352,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.39,0.155395683,0.310791367,0.30781105,0.6156221,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.4,0.154285714,0.308571429,0.304890297,0.609780593,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.41,0.153191489,0.306382979,0.302017752,0.604035504,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.42,0.152112676,0.304225352,0.299192286,0.598384572,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.43,0.151048951,0.302097902,0.296412805,0.592825609,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.44,0.15,0.3,0.293678245,0.58735649,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.45,0.148965517,0.297931034,0.290987576,0.581975153,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.46,0.147945205,0.295890411,0.2883398,0.576679599,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.47,0.146938776,0.293877551,0.285733944,0.571467887,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.48,0.145945946,0.291891892,0.283169066,0.566338133,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.49,0.144966443,0.289932886,0.280644253,0.561288506,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.5,0.144,0.288,0.278158615,0.556317231,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.51,0.143046358,0.286092715,0.27571129,0.55142258,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.52,0.142105263,0.284210526,0.273301439,0.546602878,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.53,0.141176471,0.282352941,0.270928247,0.541856495,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.54,0.14025974,0.280519481,0.268590923,0.537181846,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.55,0.139354839,0.278709677,0.266288697,0.532577393,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.56,0.138461538,0.276923077,0.264020819,0.528041639,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.57,0.137579618,0.275159236,0.261786564,0.523573128,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.58,0.136708861,0.273417722,0.259585222,0.519170444,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.59,0.135849057,0.271698113,0.257416105,0.514832211,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.6,0.135,0.27,0.255278544,0.510557087,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.61,0.134161491,0.268322981,0.253171885,0.50634377,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.62,0.133333333,0.266666667,0.251095495,0.50219099,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
1.63,0.132515337,0.265030675,0.249048756,0.498097512,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6
